Column27,x_coord,y_coord,heights1
STOW0472,199446.844,431477.114,
STOW0473,133158.921,444355.873,1.96904158592224
STOW0475,139807.288,441773.663,0.709677219390869
STOW0202,198984.278,434697.982,
STOW0205,213198.326,456907.185,8.04295539855957
STOW0458,185590.248,419385.606,
STOW0459,185390.448,419248.377,
STOW0460,184968.899,419263.749,
STOW0461,182878.721,418664.366,9.31695747375488
STOW0462,180318.683,420117.851,
STOW0463,168081.691,427380.812,5.79732227325439
STOW0464,162594.946,427597.066,
STOW0465,162479.676,427567.426,8.25023555755615
STOW0448,189147.692,429019.982,
STOW0449,188784.902,428870.304,8.46446990966797
STOW0451,185146.739,419262.658,
STOW0452,187869.244,419184.695,9.75952339172363
STOW0453,187654.075,419381.206,9.22651767730713
STOW0455,163459.999,427032.809,5.18872117996216
STOW0456,187471.845,419624.907,9.23237800598145
STOW0457,186797.806,419495.38,10.1592082977295
STOW0439,169284.059,433992.903,7.61537504196167
STOW0440,168999.447,433998.312,10.9018487930298
STOW0441,168714.845,433949.602,6.10858726501465
STOW0442,158613.973,431189.964,5.08839988708496
STOW0443,158585.554,430520.974,5.78765678405762
STOW0444,158013.587,430056.576,5.60931968688965
STOW0446,157609.281,429062.028,5.63788032531738
STOW0447,190480.917,430653.841,
STOW0260,198782.455,434968.291,10.2099275588989
STOW0261,198766.128,434981.985,10.5989894866943
STOW0262,198444.764,435316.359,
STOW0263,197291.638,435971.929,11.1719264984131
STOW0264,195200.278,438332.208,10.7879981994629
STOW0265,195128.341,442074.162,9.5883150100708
STOW0266,197283.747,443502.884,10.4812412261963
STOW0267,197302.287,443508.909,10.4252338409424
STOW0154,195098.884,442287.042,10.5006189346313
STOW0200,198105.771,444681.114,10.754017829895
STOW0217,195381.704,438250.888,10.7706460952759
STOW0219,197089.084,443168.248,10.4318904876709
STOW0220,197561.606,444274.588,10.1590967178345
STOW0223,203233.205,445008.192,8.78314018249512
STOW0226,195092.323,438583.212,11.0978546142578
STOW0259,199886.623,433414.868,11.8979005813599
STOW0146,195249.366,438288.872,11.7227210998535
STOW0147,195176.117,438337.768,10.9829502105713
STOW0148,195099.993,438603.154,10.7191333770752
STOW0149,195070.271,438605.071,11.6564750671387
STOW0150,195007.185,438704.207,12.1574087142944
STOW0151,193831.963,440938.315,10.4011812210083
STOW0152,194511.858,442216.934,12.4986133575439
STOW0153,194690.219,442260.226,10.8041133880615
STOW0138,195561.072,438173.437,11.7805242538452
STOW0139,195575.248,438160.589,11.045937538147
STOW0140,195581.111,438194.35,10.9497632980347
STOW0141,195519.691,438202.215,10.6445322036743
STOW0142,195388.274,438246.392,11.2134466171265
STOW0143,195384.471,438284.255,10.5622940063477
STOW0144,195378.247,438251.925,10.7495965957642
STOW0145,195300.62,438289.442,11.4558610916138
STOW0129,197264.72,435983.38,11.5228643417358
STOW0130,197285.966,435969.217,11.4866991043091
STOW0131,197279.206,435992.393,11.3321743011475
STOW0132,197004.624,436395.739,12.4647150039673
STOW0133,196428.281,437600.361,12.065333366394
STOW0134,195705.269,438073.679,11.1855363845825
STOW0135,195663.623,438101.565,11.4529066085815
STOW0136,195627.941,438129.523,11.0660934448242
STOW0120,198772.974,434949.068,10.7640037536621
STOW0121,198730.577,434998.838,10.6557884216309
STOW0122,198725.311,435003.315,10.5548362731934
STOW0123,198721.36,435008.054,10.4883718490601
STOW0124,197893.542,435611.183,12.1183748245239
STOW0126,197866.047,435639.34,11.4205551147461
STOW0127,197300.251,436000.748,10.4027996063232
STOW0128,197291.117,435981.127,11.4517488479614
STOW0056,206952.337,450667.457,8.32270622253418
STOW0057,212116.679,458021.977,10.0289182662964
STOW0058,212133.205,457805.08,8.35319900512695
STOW0059,211489.746,458733.603,7.71946001052856
STOW0060,210109.386,469540.724,7.2845664024353
STOW0061,198984.278,434697.982,
STOW0103,196983.379,436474.605,12.2725505828857
STOW0119,195534.746,442454.878,10.8672637939453
STOW0047,197554.384,444328.448,10.6777296066284
STOW0048,197742.279,444589.8,10.9577751159668
STOW0049,201389.962,445157.538,11.0676002502441
STOW0050,202169.599,445857.322,10.4792795181274
STOW0051,203122.885,445037.507,8.5050802230835
STOW0052,203224.976,444991.734,8.45394039154053
STOW0053,206275.377,446534.426,10.6806793212891
STOW0055,206337.352,446485.823,8.94727897644043
STOW0039,197453.846,443982.129,11.1086187362671
STOW0040,197458.713,444002.754,11.5908832550049
STOW0041,197464.275,444023.147,11.3612661361694
STOW0042,197406.339,443865.794,10.4865264892578
STOW0043,197485.363,444092.438,11.4990224838257
STOW0044,197491.62,444120.48,11.6616287231445
STOW0045,197544.5,444302.536,10.5382995605469
STOW0046,197548.24,444309.748,10.5353002548218
STOW0031,197299.969,443549.001,10.5117998123169
STOW0032,197319.899,443602.302,10.6349000930786
STOW0033,197334.035,443645.87,10.5572996139526
STOW0034,197351.416,443689.438,9.83479976654053
STOW0035,197352.343,443754.558,10.921199798584
STOW0036,197458.713,443950.148,10.2893018722534
STOW0037,197448.284,443955.015,10.7164039611816
STOW0038,197446.43,443951.307,10.6107168197632
STOW0023,196263.491,442639.588,10.6717252731323
STOW0024,196294.34,442661.539,10.5762224197388
STOW0025,196102.272,442611.408,11.6726369857788
STOW0026,197106.696,443193.74,10.9110078811646
STOW0027,197238.094,443307.526,9.97482109069824
STOW0028,197288.382,443524.437,10.6636209487915
STOW0029,197295.566,443540.427,10.6398954391479
STOW0030,197296.725,443544.135,10.6747026443481
STOW0342,135082.338,426857.926,1.1106926202774
STOW0344,128261.425,426653.129,-0.544976353645325
STOW0007,195953.363,442552.972,11.575587272644
STOW0009,197532.211,444271.278,10.5524835586548
STOW0017,196195.711,442512.037,8.883469581604
STOW0020,195415.887,442371.763,10.4167442321777
STOW0021,195428.25,442401.142,10.8976068496704
STOW0022,195643.286,442497.213,11.687424659729
STOW0330,139773.353,425760.792,1.34819209575653
STOW0331,139394.671,425659.922,1.94479918479919
STOW0333,137537.231,426298.864,1.38162124156952
STOW0335,135545.88,426771.465,1.42220568656921
STOW0337,135370.549,426684.995,1.68043231964111
STOW0338,135304.099,426761.055,1.12712609767914
STOW0339,135299.299,426740.235,1.34785056114197
